left_id,right_id,distance,merged_size,new_id
37.0,39.0,0.4485334204277636,2.0,108.0
60.0,63.0,0.4805130004945597,2.0,109.0
86.0,89.0,0.5529775428848591,2.0,110.0
58.0,64.0,0.5586699741103249,2.0,111.0
90.0,93.0,0.5954625975744215,2.0,112.0
21.0,24.0,0.6870407024345512,2.0,113.0
23.0,25.0,0.6889649859816582,2.0,114.0
1.0,7.0,0.6920282017219295,2.0,115.0
38.0,102.0,0.6997043812897488,2.0,116.0
10.0,79.0,0.7243690889360503,2.0,117.0
101.0,108.0,0.7349916495757092,3.0,118.0
61.0,109.0,0.7581731459149661,3.0,119.0
88.0,112.0,0.7707380878229729,3.0,120.0
56.0,119.0,0.7936812741988053,4.0,121.0
81.0,83.0,0.8117661192300873,2.0,122.0
2.0,5.0,0.8224644231302084,2.0,123.0
51.0,67.0,0.8569074132511302,2.0,124.0
27.0,34.0,0.8657723543488833,2.0,125.0
22.0,26.0,0.8858609727349069,2.0,126.0
85.0,96.0,0.8936391706505368,2.0,127.0
53.0,54.0,0.9109380336495719,2.0,128.0
6.0,115.0,0.9808014650316345,3.0,129.0
49.0,124.0,1.0002084657726134,3.0,130.0
36.0,40.0,1.0098898277101984,2.0,131.0
91.0,110.0,1.017015796071294,3.0,132.0
117.0,125.0,1.025357501757568,4.0,133.0
98.0,99.0,1.0445119517692,2.0,134.0
62.0,121.0,1.1090973423972177,5.0,135.0
41.0,116.0,1.109618752997679,3.0,136.0
123.0,129.0,1.1428750185062166,5.0,137.0
44.0,74.0,1.1572286278285853,2.0,138.0
77.0,78.0,1.1786368460900973,2.0,139.0
65.0,66.0,1.180055052262236,2.0,140.0
114.0,126.0,1.1853084265758833,4.0,141.0
0.0,4.0,1.1939097710134865,2.0,142.0
59.0,111.0,1.1977800201444126,3.0,143.0
118.0,136.0,1.2032138112867516,6.0,144.0
42.0,131.0,1.212449443811075,3.0,145.0
113.0,141.0,1.2547319688895802,6.0,146.0
55.0,135.0,1.2610561554482096,6.0,147.0
15.0,71.0,1.2711900000891985,2.0,148.0
92.0,132.0,1.2746255818088195,4.0,149.0
46.0,138.0,1.29475576616793,3.0,150.0
17.0,18.0,1.3205517948546286,2.0,151.0
19.0,30.0,1.359519679555259,2.0,152.0
133.0,148.0,1.3789643647791539,6.0,153.0
52.0,128.0,1.4285022856726792,3.0,154.0
87.0,120.0,1.4383782119871136,4.0,155.0
13.0,70.0,1.4442096713102408,2.0,156.0
3.0,137.0,1.4461512707332282,6.0,157.0
140.0,147.0,1.4559410063322753,8.0,158.0
43.0,50.0,1.458333380384874,2.0,159.0
28.0,68.0,1.4609698611674011,2.0,160.0
100.0,127.0,1.4670409747897148,3.0,161.0
94.0,107.0,1.4751096355694335,2.0,162.0
31.0,33.0,1.483702445788824,2.0,163.0
130.0,153.0,1.525967107054314,9.0,164.0
11.0,75.0,1.5311602729639158,2.0,165.0
142.0,157.0,1.531636691323593,8.0,166.0
103.0,145.0,1.581233714898833,4.0,167.0
20.0,146.0,1.5815842777674123,7.0,168.0
47.0,48.0,1.5819374290919348,2.0,169.0
104.0,144.0,1.6250377985051943,7.0,170.0
14.0,162.0,1.6586390262390436,3.0,171.0
69.0,160.0,1.6592955457249996,3.0,172.0
72.0,73.0,1.6656655499012512,2.0,173.0
149.0,155.0,1.66910846040747,8.0,174.0
57.0,143.0,1.7008076366784448,4.0,175.0
80.0,82.0,1.723795635856583,2.0,176.0
45.0,150.0,1.7275610939720105,4.0,177.0
95.0,97.0,1.77436361527609,2.0,178.0
106.0,152.0,1.8275040367712017,3.0,179.0
139.0,171.0,1.8468119074289773,5.0,180.0
12.0,76.0,1.8857850490584012,2.0,181.0
158.0,175.0,1.894172150465658,12.0,182.0
159.0,164.0,1.9268195321270842,11.0,183.0
16.0,84.0,1.9559404280794879,2.0,184.0
105.0,170.0,1.961903296018617,8.0,185.0
161.0,174.0,2.027990440893713,11.0,186.0
9.0,172.0,2.0281019518698753,4.0,187.0
177.0,179.0,2.0751832101426047,7.0,188.0
35.0,183.0,2.1243744716237423,12.0,189.0
122.0,165.0,2.253730976782819,4.0,190.0
154.0,163.0,2.2894802667816707,5.0,191.0
156.0,189.0,2.291982768497767,14.0,192.0
166.0,182.0,2.2980287498067686,20.0,193.0
185.0,186.0,2.315053759684447,19.0,194.0
169.0,173.0,2.342808942333383,4.0,195.0
167.0,194.0,2.373410608333979,23.0,196.0
180.0,181.0,2.418498587113406,7.0,197.0
151.0,184.0,2.419818439865021,4.0,198.0
168.0,193.0,2.4612669277386563,27.0,199.0
32.0,188.0,2.482684551094192,8.0,200.0
178.0,187.0,2.5351600408091755,6.0,201.0
190.0,197.0,2.6091346147787102,11.0,202.0
191.0,195.0,2.618141176186349,9.0,203.0
192.0,201.0,2.7101821921389826,20.0,204.0
8.0,29.0,2.7775369732438566,2.0,205.0
196.0,199.0,2.7981427702829103,50.0,206.0
134.0,203.0,2.8156335132046406,11.0,207.0
202.0,206.0,2.8773359752308734,61.0,208.0
198.0,200.0,2.9679968907354817,12.0,209.0
207.0,208.0,2.9806015527747975,72.0,210.0
204.0,205.0,3.1023866504005433,22.0,211.0
210.0,211.0,3.143341209620553,94.0,212.0
176.0,212.0,3.4625828087376536,96.0,213.0
209.0,213.0,3.5813555605525025,108.0,214.0
